,signal_close_buy,signal_close_sell
2017-08-01,0.0,-1.0
2017-08-02,0.3134937286376953,-0.1013801097869873
2017-08-03,0.8526439666748047,-0.0
2017-08-04,1.0,-0.0
2017-08-07,1.0,-0.0
2017-08-08,0.0,-0.0
2017-08-09,0.0,-0.0
2017-08-10,0.0,-1.0
2017-08-11,0.0,-1.0
2017-08-14,1.0,-0.0
2017-08-15,0.0,-1.0
2017-08-16,0.0,-0.8419454097747803
2017-08-17,0.0,-1.0
2017-08-18,0.0,-1.0
2017-08-21,0.0,-0.7089853286743164
2017-08-22,0.0,-1.0
2017-08-23,0.0,-1.0
2017-08-24,1.0,-1.0
2017-08-25,1.0,-0.0
2017-08-28,1.0,-0.0
2017-08-29,0.0,-1.0
2017-08-30,0.7400312423706055,-1.0
2017-08-31,0.0,-1.0
2017-09-01,1.0,-0.30880188941955566
2017-09-04,0.03425407409667969,-0.0
2017-09-05,0.0,-1.0
2017-09-06,0.0,-0.2172865867614746
2017-09-07,0.6011667251586914,-0.0
2017-09-08,0.879002571105957,-0.0
2017-09-11,1.0,-0.0
2017-09-12,1.0,-0.0
2017-09-13,0.0,-0.4643213748931885
2017-09-14,0.8792543411254883,-0.2307734489440918
2017-09-15,1.0,-0.0
