date,signal_close_buy,signal_close_sell,signal_buy,signal_sell,diff_buy,diff_sell,close,pct_change
2017-08-01,0.0,-1.0,0.0,-1.0,0,0,10525.35,
2017-08-02,0.0,-0.72,0.0,-0.46,0,1,10469.34,-0.53
2017-08-03,0.44,-0.0,1.0,-0.0,1,0,10436.17,-0.32
2017-08-04,1.0,-0.0,1.0,-0.0,0,0,10361.23,-0.72
2017-08-07,1.0,-0.0,1.0,-0.0,0,0,10451.08,0.87
2017-08-08,1.0,-0.0,1.0,-0.0,0,0,10496.25,0.43
2017-08-09,0.0,-0.0,0.0,-0.0,0,0,10544.59,0.46
2017-08-10,0.0,-1.0,0.0,-1.0,0,0,10480.64,-0.61
2017-08-11,1.0,-1.0,1.0,-1.0,0,0,10291.35,-1.81
2017-08-14,1.0,-0.0,1.0,-0.0,0,0,10519.8,2.22
2017-08-15,0.0,-1.0,0.0,-1.0,0,0,10559.78,0.38
2017-08-16,0.0,-1.0,0.0,-1.0,0,0,10600.78,0.39
2017-08-17,0.0,-1.0,0.0,-1.0,0,0,10653.73,0.5
2017-08-18,0.0,-1.0,0.0,-1.0,0,0,10614.08,-0.37
2017-08-21,0.0,-0.42,0.0,-0.64,0,1,10689.77,0.71
2017-08-22,0.0,-1.0,0.0,-1.0,0,0,10653.98,-0.33
2017-08-23,0.0,-1.0,0.0,-1.0,0,0,10619.34,-0.33
2017-08-24,0.0,-1.0,0.0,-1.0,0,0,10552.96,-0.63
2017-08-25,1.0,-0.0,1.0,-0.0,0,0,10659.01,1.0
2017-08-28,1.0,-0.0,1.0,-0.0,0,0,10809.74,1.41
2017-08-29,0.0,-1.0,0.0,-1.0,0,0,10762.37,-0.44
2017-08-30,0.0,-0.04,0.0,-0.08,0,1,10813.93,0.48
2017-08-31,0.0,-1.0,0.0,-1.0,0,0,10816.64,0.03
2017-09-01,0.74,-0.0,1.0,-0.0,1,0,10880.56,0.59
2017-09-04,1.0,-0.0,1.0,-0.0,0,0,10962.85,0.76
2017-09-05,0.0,-0.77,0.0,-0.67,0,1,10986.95,0.22
2017-09-06,0.0,-0.0,0.0,-0.0,0,0,11024.59,0.34
2017-09-07,0.0,-0.0,0.0,-0.0,0,0,10969.13,-0.5
2017-09-08,0.59,-0.0,0.89,-0.0,1,0,10970.77,0.01
2017-09-11,1.0,-0.0,1.0,-0.0,0,0,11053.73,0.76
2017-09-12,0.0,-1.0,0.17,-0.87,1,1,11043.61,-0.09
2017-09-13,0.57,-0.0,0.27,-0.0,1,0,11091.49,0.43
2017-09-14,0.0,-1.0,0.0,-1.0,0,0,11070.49,-0.19
2017-09-15,1.0,-0.0,1.0,-0.0,0,0,11063.1,-0.07
